Epoch 1 Average Loss: 0.4659, Precision: 1.0000, Recall: 0.3926, F1: 0.5639
Epoch 2 Average Loss: 0.4815, Precision: 1.0000, Recall: 0.4158, F1: 0.5874
Epoch 3 Average Loss: 0.4691, Precision: 1.0000, Recall: 0.4158, F1: 0.5874
Epoch 4 Average Loss: 0.4577, Precision: 1.0000, Recall: 0.4199, F1: 0.5915
Epoch 5 Average Loss: 0.4552, Precision: 1.0000, Recall: 0.4097, F1: 0.5812
Epoch 6 Average Loss: 0.4707, Precision: 1.0000, Recall: 0.4168, F1: 0.5884
Epoch 7 Average Loss: 0.4713, Precision: 1.0000, Recall: 0.4216, F1: 0.5931
Epoch 8 Average Loss: 0.4546, Precision: 1.0000, Recall: 0.4155, F1: 0.5870
Epoch 9 Average Loss: 0.4566, Precision: 1.0000, Recall: 0.4301, F1: 0.6015
Epoch 10 Average Loss: 0.4080, Precision: 1.0000, Recall: 0.4240, F1: 0.5955
Epoch 11 Average Loss: 0.4512, Precision: 1.0000, Recall: 0.4032, F1: 0.5747
Epoch 12 Average Loss: 0.4584, Precision: 1.0000, Recall: 0.4158, F1: 0.5874
Epoch 13 Average Loss: 0.4319, Precision: 1.0000, Recall: 0.4226, F1: 0.5942
Epoch 14 Average Loss: 0.4504, Precision: 1.0000, Recall: 0.4243, F1: 0.5958
Epoch 15 Average Loss: 0.4422, Precision: 1.0000, Recall: 0.4230, F1: 0.5945
Epoch 16 Average Loss: 0.4295, Precision: 1.0000, Recall: 0.4257, F1: 0.5972
Epoch 17 Average Loss: 0.4516, Precision: 1.0000, Recall: 0.4206, F1: 0.5921
Epoch 18 Average Loss: 0.4441, Precision: 1.0000, Recall: 0.4267, F1: 0.5982
Epoch 19 Average Loss: 0.4510, Precision: 1.0000, Recall: 0.4223, F1: 0.5938
Epoch 20 Average Loss: 0.4411, Precision: 1.0000, Recall: 0.4254, F1: 0.5968
Epoch 21 Average Loss: 0.4257, Precision: 1.0000, Recall: 0.4168, F1: 0.5884
Epoch 22 Average Loss: 0.4399, Precision: 1.0000, Recall: 0.4243, F1: 0.5958
Epoch 23 Average Loss: 0.4360, Precision: 1.0000, Recall: 0.4349, F1: 0.6062
Epoch 24 Average Loss: 0.4403, Precision: 1.0000, Recall: 0.4294, F1: 0.6009
Epoch 25 Average Loss: 0.4437, Precision: 1.0000, Recall: 0.4301, F1: 0.6015
Epoch 26 Average Loss: 0.4339, Precision: 1.0000, Recall: 0.4417, F1: 0.6128
Epoch 27 Average Loss: 0.4320, Precision: 1.0000, Recall: 0.4496, F1: 0.6203
Epoch 28 Average Loss: 0.4344, Precision: 1.0000, Recall: 0.4271, F1: 0.5985
Epoch 29 Average Loss: 0.4304, Precision: 1.0000, Recall: 0.4349, F1: 0.6062
Epoch 30 Average Loss: 0.4368, Precision: 1.0000, Recall: 0.4318, F1: 0.6032
Epoch 31 Average Loss: 0.4193, Precision: 1.0000, Recall: 0.4479, F1: 0.6186
Epoch 32 Average Loss: 0.4356, Precision: 1.0000, Recall: 0.4567, F1: 0.6270
Epoch 33 Average Loss: 0.4586, Precision: 1.0000, Recall: 0.4332, F1: 0.6045
Epoch 34 Average Loss: 0.4314, Precision: 1.0000, Recall: 0.4509, F1: 0.6216
Epoch 35 Average Loss: 0.4259, Precision: 1.0000, Recall: 0.4468, F1: 0.6177
Epoch 36 Average Loss: 0.4388, Precision: 1.0000, Recall: 0.4267, F1: 0.5982
Epoch 37 Average Loss: 0.4152, Precision: 1.0000, Recall: 0.4472, F1: 0.6180
Epoch 38 Average Loss: 0.4266, Precision: 1.0000, Recall: 0.4472, F1: 0.6180
Epoch 39 Average Loss: 0.4125, Precision: 1.0000, Recall: 0.4475, F1: 0.6183
Epoch 40 Average Loss: 0.4189, Precision: 1.0000, Recall: 0.4438, F1: 0.6147
Epoch 41 Average Loss: 0.4274, Precision: 1.0000, Recall: 0.4530, F1: 0.6235
Epoch 42 Average Loss: 0.3985, Precision: 1.0000, Recall: 0.4366, F1: 0.6078
Epoch 43 Average Loss: 0.4018, Precision: 1.0000, Recall: 0.4571, F1: 0.6274
Epoch 44 Average Loss: 0.4278, Precision: 1.0000, Recall: 0.4516, F1: 0.6222
Epoch 45 Average Loss: 0.4473, Precision: 1.0000, Recall: 0.4533, F1: 0.6238
Epoch 46 Average Loss: 0.4149, Precision: 1.0000, Recall: 0.4373, F1: 0.6085
Epoch 47 Average Loss: 0.4148, Precision: 1.0000, Recall: 0.4574, F1: 0.6277
Epoch 48 Average Loss: 0.4119, Precision: 1.0000, Recall: 0.4632, F1: 0.6331
Epoch 49 Average Loss: 0.4124, Precision: 1.0000, Recall: 0.4438, F1: 0.6147
Epoch 50 Average Loss: 0.4343, Precision: 1.0000, Recall: 0.4608, F1: 0.6309
