Epoch 1 Average Loss: 1.7486, Precision: 1.0000, Recall: 0.0037, F1: 0.0075
Epoch 2 Average Loss: 0.6019, Precision: 1.0000, Recall: 0.0457, F1: 0.0874
Epoch 3 Average Loss: 0.4567, Precision: 1.0000, Recall: 0.0869, F1: 0.1599
Epoch 4 Average Loss: 0.3782, Precision: 1.0000, Recall: 0.1022, F1: 0.1855
Epoch 5 Average Loss: 0.3280, Precision: 1.0000, Recall: 0.1264, F1: 0.2245
Epoch 6 Average Loss: 0.2842, Precision: 1.0000, Recall: 0.1513, F1: 0.2629
Epoch 7 Average Loss: 0.2572, Precision: 1.0000, Recall: 0.1691, F1: 0.2892
Epoch 8 Average Loss: 0.2375, Precision: 1.0000, Recall: 0.1881, F1: 0.3167
Epoch 9 Average Loss: 0.2228, Precision: 1.0000, Recall: 0.1922, F1: 0.3225
Epoch 10 Average Loss: 0.2088, Precision: 1.0000, Recall: 0.2222, F1: 0.3636
Epoch 11 Average Loss: 0.2007, Precision: 1.0000, Recall: 0.2273, F1: 0.3705
Epoch 12 Average Loss: 0.1911, Precision: 1.0000, Recall: 0.2420, F1: 0.3897
Epoch 13 Average Loss: 0.1826, Precision: 1.0000, Recall: 0.2474, F1: 0.3967
Epoch 14 Average Loss: 0.1753, Precision: 1.0000, Recall: 0.2461, F1: 0.3950
Epoch 15 Average Loss: 0.1687, Precision: 1.0000, Recall: 0.2584, F1: 0.4106
Epoch 16 Average Loss: 0.1643, Precision: 1.0000, Recall: 0.2498, F1: 0.3998
Epoch 17 Average Loss: 0.1600, Precision: 1.0000, Recall: 0.2662, F1: 0.4205
Epoch 18 Average Loss: 0.1542, Precision: 1.0000, Recall: 0.2720, F1: 0.4277
Epoch 19 Average Loss: 0.1507, Precision: 1.0000, Recall: 0.2744, F1: 0.4306
Epoch 20 Average Loss: 0.1455, Precision: 1.0000, Recall: 0.3003, F1: 0.4619
Epoch 21 Average Loss: 0.1430, Precision: 1.0000, Recall: 0.3016, F1: 0.4635
Epoch 22 Average Loss: 0.1396, Precision: 1.0000, Recall: 0.2993, F1: 0.4607
Epoch 23 Average Loss: 0.1355, Precision: 1.0000, Recall: 0.2965, F1: 0.4574
Epoch 24 Average Loss: 0.1328, Precision: 1.0000, Recall: 0.2958, F1: 0.4566
Epoch 25 Average Loss: 0.1288, Precision: 1.0000, Recall: 0.3016, F1: 0.4635
Epoch 26 Average Loss: 0.1275, Precision: 1.0000, Recall: 0.3139, F1: 0.4778
Epoch 27 Average Loss: 0.1237, Precision: 1.0000, Recall: 0.3146, F1: 0.4786
Epoch 28 Average Loss: 0.1216, Precision: 1.0000, Recall: 0.3296, F1: 0.4958
Epoch 29 Average Loss: 0.1195, Precision: 1.0000, Recall: 0.3395, F1: 0.5069
Epoch 30 Average Loss: 0.1155, Precision: 1.0000, Recall: 0.3190, F1: 0.4837
Epoch 31 Average Loss: 0.1149, Precision: 1.0000, Recall: 0.3289, F1: 0.4950
Epoch 32 Average Loss: 0.1120, Precision: 1.0000, Recall: 0.3217, F1: 0.4868
Epoch 33 Average Loss: 0.1089, Precision: 1.0000, Recall: 0.3292, F1: 0.4954
Epoch 34 Average Loss: 0.1069, Precision: 1.0000, Recall: 0.3661, F1: 0.5359
Epoch 35 Average Loss: 0.1065, Precision: 1.0000, Recall: 0.3674, F1: 0.5374
Epoch 36 Average Loss: 0.1050, Precision: 1.0000, Recall: 0.3667, F1: 0.5367
Epoch 37 Average Loss: 0.0995, Precision: 1.0000, Recall: 0.3763, F1: 0.5468
Epoch 38 Average Loss: 0.1011, Precision: 1.0000, Recall: 0.3736, F1: 0.5439
Epoch 39 Average Loss: 0.0992, Precision: 1.0000, Recall: 0.3705, F1: 0.5407
Epoch 40 Average Loss: 0.0953, Precision: 1.0000, Recall: 0.3875, F1: 0.5586
Epoch 41 Average Loss: 0.0942, Precision: 1.0000, Recall: 0.3879, F1: 0.5589
Epoch 42 Average Loss: 0.0920, Precision: 1.0000, Recall: 0.3759, F1: 0.5464
Epoch 43 Average Loss: 0.0921, Precision: 1.0000, Recall: 0.3810, F1: 0.5518
Epoch 44 Average Loss: 0.0890, Precision: 1.0000, Recall: 0.3773, F1: 0.5479
Epoch 45 Average Loss: 0.0880, Precision: 1.0000, Recall: 0.3783, F1: 0.5490
Epoch 46 Average Loss: 0.0864, Precision: 1.0000, Recall: 0.3695, F1: 0.5396
Epoch 47 Average Loss: 0.0853, Precision: 1.0000, Recall: 0.3841, F1: 0.5550
Epoch 48 Average Loss: 0.0841, Precision: 1.0000, Recall: 0.4131, F1: 0.5847
Epoch 49 Average Loss: 0.0804, Precision: 1.0000, Recall: 0.4165, F1: 0.5881
Epoch 50 Average Loss: 0.0798, Precision: 1.0000, Recall: 0.4431, F1: 0.6141
