Epoch 1 Average Loss: 2.0518, Precision: 1.0000, Recall: 0.0013, F1: 0.0026
Epoch 2 Average Loss: 0.6581, Precision: 1.0000, Recall: 0.0471, F1: 0.0899
Epoch 3 Average Loss: 0.4857, Precision: 1.0000, Recall: 0.0810, F1: 0.1499
Epoch 4 Average Loss: 0.3928, Precision: 1.0000, Recall: 0.0987, F1: 0.1797
Epoch 5 Average Loss: 0.3310, Precision: 1.0000, Recall: 0.1242, F1: 0.2209
Epoch 6 Average Loss: 0.2862, Precision: 1.0000, Recall: 0.1497, F1: 0.2604
Epoch 7 Average Loss: 0.2602, Precision: 1.0000, Recall: 0.1673, F1: 0.2867
Epoch 8 Average Loss: 0.2399, Precision: 1.0000, Recall: 0.1863, F1: 0.3140
Epoch 9 Average Loss: 0.2193, Precision: 1.0000, Recall: 0.1987, F1: 0.3315
Epoch 10 Average Loss: 0.2057, Precision: 1.0000, Recall: 0.2294, F1: 0.3732
Epoch 11 Average Loss: 0.1908, Precision: 1.0000, Recall: 0.2458, F1: 0.3945
Epoch 12 Average Loss: 0.1803, Precision: 1.0000, Recall: 0.2542, F1: 0.4054
Epoch 13 Average Loss: 0.1740, Precision: 1.0000, Recall: 0.2719, F1: 0.4275
Epoch 14 Average Loss: 0.1645, Precision: 1.0000, Recall: 0.2869, F1: 0.4459
Epoch 15 Average Loss: 0.1545, Precision: 1.0000, Recall: 0.3007, F1: 0.4623
Epoch 16 Average Loss: 0.1521, Precision: 1.0000, Recall: 0.3078, F1: 0.4708
Epoch 17 Average Loss: 0.1453, Precision: 1.0000, Recall: 0.3353, F1: 0.5022
Epoch 18 Average Loss: 0.1419, Precision: 1.0000, Recall: 0.3203, F1: 0.4851
Epoch 19 Average Loss: 0.1348, Precision: 1.0000, Recall: 0.3366, F1: 0.5037
Epoch 20 Average Loss: 0.1296, Precision: 1.0000, Recall: 0.3438, F1: 0.5117
Epoch 21 Average Loss: 0.1243, Precision: 1.0000, Recall: 0.3562, F1: 0.5253
Epoch 22 Average Loss: 0.1211, Precision: 1.0000, Recall: 0.3575, F1: 0.5267
Epoch 23 Average Loss: 0.1171, Precision: 1.0000, Recall: 0.3745, F1: 0.5449
Epoch 24 Average Loss: 0.1136, Precision: 1.0000, Recall: 0.3784, F1: 0.5491
Epoch 25 Average Loss: 0.1102, Precision: 1.0000, Recall: 0.3797, F1: 0.5505
Epoch 26 Average Loss: 0.1070, Precision: 1.0000, Recall: 0.4157, F1: 0.5873
Epoch 27 Average Loss: 0.1026, Precision: 1.0000, Recall: 0.4163, F1: 0.5879
Epoch 28 Average Loss: 0.1041, Precision: 1.0000, Recall: 0.4183, F1: 0.5899
Epoch 29 Average Loss: 0.0974, Precision: 1.0000, Recall: 0.4340, F1: 0.6053
Epoch 30 Average Loss: 0.0952, Precision: 1.0000, Recall: 0.4373, F1: 0.6085
Epoch 31 Average Loss: 0.0935, Precision: 1.0000, Recall: 0.4451, F1: 0.6160
Epoch 32 Average Loss: 0.0906, Precision: 1.0000, Recall: 0.4660, F1: 0.6358
Epoch 33 Average Loss: 0.0881, Precision: 1.0000, Recall: 0.4745, F1: 0.6436
Epoch 34 Average Loss: 0.0883, Precision: 1.0000, Recall: 0.4641, F1: 0.6339
Epoch 35 Average Loss: 0.0844, Precision: 1.0000, Recall: 0.4843, F1: 0.6526
Epoch 36 Average Loss: 0.0820, Precision: 1.0000, Recall: 0.4889, F1: 0.6567
Epoch 37 Average Loss: 0.0820, Precision: 1.0000, Recall: 0.4882, F1: 0.6561
Epoch 38 Average Loss: 0.0801, Precision: 1.0000, Recall: 0.4935, F1: 0.6608
Epoch 39 Average Loss: 0.0758, Precision: 1.0000, Recall: 0.5222, F1: 0.6861
Epoch 40 Average Loss: 0.0755, Precision: 1.0000, Recall: 0.5190, F1: 0.6833
Epoch 41 Average Loss: 0.0701, Precision: 1.0000, Recall: 0.5366, F1: 0.6984
Epoch 42 Average Loss: 0.0693, Precision: 1.0000, Recall: 0.5294, F1: 0.6923
Epoch 43 Average Loss: 0.0706, Precision: 1.0000, Recall: 0.5150, F1: 0.6799
Epoch 44 Average Loss: 0.0697, Precision: 1.0000, Recall: 0.5209, F1: 0.6850
Epoch 45 Average Loss: 0.0648, Precision: 1.0000, Recall: 0.5477, F1: 0.7078
Epoch 46 Average Loss: 0.0647, Precision: 1.0000, Recall: 0.5392, F1: 0.7006
Epoch 47 Average Loss: 0.0637, Precision: 1.0000, Recall: 0.5373, F1: 0.6990
Epoch 48 Average Loss: 0.0625, Precision: 1.0000, Recall: 0.5464, F1: 0.7067
Epoch 49 Average Loss: 0.0599, Precision: 1.0000, Recall: 0.5745, F1: 0.7298
Epoch 50 Average Loss: 0.0589, Precision: 1.0000, Recall: 0.5765, F1: 0.7313
