Epoch 1 Average Loss: 2.6871, Precision: 0.0000, Recall: 0.0000, F1: 0.0000
Epoch 2 Average Loss: 1.3049, Precision: 1.0000, Recall: 0.0003, F1: 0.0007
Epoch 3 Average Loss: 0.9258, Precision: 1.0000, Recall: 0.0153, F1: 0.0302
Epoch 4 Average Loss: 0.7585, Precision: 1.0000, Recall: 0.0372, F1: 0.0716
Epoch 5 Average Loss: 0.6490, Precision: 1.0000, Recall: 0.0508, F1: 0.0967
Epoch 6 Average Loss: 0.5853, Precision: 1.0000, Recall: 0.0637, F1: 0.1198
Epoch 7 Average Loss: 0.5354, Precision: 1.0000, Recall: 0.0736, F1: 0.1371
Epoch 8 Average Loss: 0.4912, Precision: 1.0000, Recall: 0.0753, F1: 0.1401
Epoch 9 Average Loss: 0.4601, Precision: 1.0000, Recall: 0.0835, F1: 0.1541
Epoch 10 Average Loss: 0.4315, Precision: 1.0000, Recall: 0.0893, F1: 0.1640
Epoch 11 Average Loss: 0.4118, Precision: 1.0000, Recall: 0.0903, F1: 0.1657
Epoch 12 Average Loss: 0.3930, Precision: 1.0000, Recall: 0.1029, F1: 0.1867
Epoch 13 Average Loss: 0.3804, Precision: 1.0000, Recall: 0.0920, F1: 0.1685
Epoch 14 Average Loss: 0.3649, Precision: 1.0000, Recall: 0.1029, F1: 0.1867
Epoch 15 Average Loss: 0.3551, Precision: 1.0000, Recall: 0.1196, F1: 0.2137
Epoch 16 Average Loss: 0.3461, Precision: 1.0000, Recall: 0.1097, F1: 0.1978
Epoch 17 Average Loss: 0.3376, Precision: 1.0000, Recall: 0.1247, F1: 0.2218
Epoch 18 Average Loss: 0.3296, Precision: 1.0000, Recall: 0.1145, F1: 0.2055
Epoch 19 Average Loss: 0.3180, Precision: 1.0000, Recall: 0.1268, F1: 0.2250
Epoch 20 Average Loss: 0.3102, Precision: 1.0000, Recall: 0.1295, F1: 0.2293
Epoch 21 Average Loss: 0.3050, Precision: 1.0000, Recall: 0.1442, F1: 0.2520
Epoch 22 Average Loss: 0.2996, Precision: 1.0000, Recall: 0.1343, F1: 0.2368
Epoch 23 Average Loss: 0.2932, Precision: 1.0000, Recall: 0.1493, F1: 0.2598
Epoch 24 Average Loss: 0.2901, Precision: 1.0000, Recall: 0.1391, F1: 0.2442
Epoch 25 Average Loss: 0.2830, Precision: 1.0000, Recall: 0.1459, F1: 0.2546
Epoch 26 Average Loss: 0.2761, Precision: 1.0000, Recall: 0.1619, F1: 0.2787
Epoch 27 Average Loss: 0.2737, Precision: 1.0000, Recall: 0.1616, F1: 0.2782
Epoch 28 Average Loss: 0.2700, Precision: 1.0000, Recall: 0.1636, F1: 0.2812
Epoch 29 Average Loss: 0.2654, Precision: 1.0000, Recall: 0.1677, F1: 0.2872
Epoch 30 Average Loss: 0.2618, Precision: 1.0000, Recall: 0.1711, F1: 0.2922
Epoch 31 Average Loss: 0.2578, Precision: 1.0000, Recall: 0.1680, F1: 0.2877
Epoch 32 Average Loss: 0.2553, Precision: 1.0000, Recall: 0.1875, F1: 0.3157
Epoch 33 Average Loss: 0.2497, Precision: 1.0000, Recall: 0.1823, F1: 0.3084
Epoch 34 Average Loss: 0.2500, Precision: 1.0000, Recall: 0.1667, F1: 0.2857
Epoch 35 Average Loss: 0.2453, Precision: 1.0000, Recall: 0.1697, F1: 0.2902
Epoch 36 Average Loss: 0.2399, Precision: 1.0000, Recall: 0.1823, F1: 0.3084
Epoch 37 Average Loss: 0.2384, Precision: 1.0000, Recall: 0.1834, F1: 0.3099
Epoch 38 Average Loss: 0.2393, Precision: 1.0000, Recall: 0.1701, F1: 0.2907
Epoch 39 Average Loss: 0.2326, Precision: 1.0000, Recall: 0.1943, F1: 0.3253
Epoch 40 Average Loss: 0.2338, Precision: 1.0000, Recall: 0.1837, F1: 0.3104
Epoch 41 Average Loss: 0.2267, Precision: 1.0000, Recall: 0.2031, F1: 0.3377
Epoch 42 Average Loss: 0.2255, Precision: 1.0000, Recall: 0.2025, F1: 0.3367
Epoch 43 Average Loss: 0.2242, Precision: 1.0000, Recall: 0.2079, F1: 0.3442
Epoch 44 Average Loss: 0.2224, Precision: 1.0000, Recall: 0.2086, F1: 0.3452
Epoch 45 Average Loss: 0.2190, Precision: 1.0000, Recall: 0.2089, F1: 0.3456
Epoch 46 Average Loss: 0.2188, Precision: 1.0000, Recall: 0.1960, F1: 0.3277
Epoch 47 Average Loss: 0.2152, Precision: 1.0000, Recall: 0.2239, F1: 0.3659
Epoch 48 Average Loss: 0.2134, Precision: 1.0000, Recall: 0.2175, F1: 0.3572
Epoch 49 Average Loss: 0.2098, Precision: 1.0000, Recall: 0.2307, F1: 0.3750
Epoch 50 Average Loss: 0.2097, Precision: 1.0000, Recall: 0.2243, F1: 0.3664
