Epoch 1 Average Loss: 2.7764, Precision: 0.0000, Recall: 0.0000, F1: 0.0000
Epoch 2 Average Loss: 1.4802, Precision: 1.0000, Recall: 0.0013, F1: 0.0026
Epoch 3 Average Loss: 1.1070, Precision: 1.0000, Recall: 0.0072, F1: 0.0143
Epoch 4 Average Loss: 0.9112, Precision: 1.0000, Recall: 0.0183, F1: 0.0359
Epoch 5 Average Loss: 0.7735, Precision: 1.0000, Recall: 0.0275, F1: 0.0534
Epoch 6 Average Loss: 0.6919, Precision: 1.0000, Recall: 0.0399, F1: 0.0767
Epoch 7 Average Loss: 0.6308, Precision: 1.0000, Recall: 0.0418, F1: 0.0803
Epoch 8 Average Loss: 0.5901, Precision: 1.0000, Recall: 0.0516, F1: 0.0982
Epoch 9 Average Loss: 0.5488, Precision: 1.0000, Recall: 0.0654, F1: 0.1227
Epoch 10 Average Loss: 0.5190, Precision: 1.0000, Recall: 0.0699, F1: 0.1307
Epoch 11 Average Loss: 0.4846, Precision: 1.0000, Recall: 0.0771, F1: 0.1432
Epoch 12 Average Loss: 0.4621, Precision: 1.0000, Recall: 0.0765, F1: 0.1421
Epoch 13 Average Loss: 0.4359, Precision: 1.0000, Recall: 0.0843, F1: 0.1555
Epoch 14 Average Loss: 0.4182, Precision: 1.0000, Recall: 0.0961, F1: 0.1753
Epoch 15 Average Loss: 0.3985, Precision: 1.0000, Recall: 0.1000, F1: 0.1818
Epoch 16 Average Loss: 0.3849, Precision: 1.0000, Recall: 0.1046, F1: 0.1893
Epoch 17 Average Loss: 0.3661, Precision: 1.0000, Recall: 0.1105, F1: 0.1989
Epoch 18 Average Loss: 0.3529, Precision: 1.0000, Recall: 0.1222, F1: 0.2178
Epoch 19 Average Loss: 0.3489, Precision: 1.0000, Recall: 0.1301, F1: 0.2302
Epoch 20 Average Loss: 0.3361, Precision: 1.0000, Recall: 0.1275, F1: 0.2261
Epoch 21 Average Loss: 0.3294, Precision: 1.0000, Recall: 0.1275, F1: 0.2261
Epoch 22 Average Loss: 0.3217, Precision: 1.0000, Recall: 0.1281, F1: 0.2271
Epoch 23 Average Loss: 0.3109, Precision: 1.0000, Recall: 0.1444, F1: 0.2524
Epoch 24 Average Loss: 0.3004, Precision: 1.0000, Recall: 0.1523, F1: 0.2643
Epoch 25 Average Loss: 0.2929, Precision: 1.0000, Recall: 0.1477, F1: 0.2574
Epoch 26 Average Loss: 0.2901, Precision: 1.0000, Recall: 0.1667, F1: 0.2857
Epoch 27 Average Loss: 0.2856, Precision: 1.0000, Recall: 0.1647, F1: 0.2828
Epoch 28 Average Loss: 0.2828, Precision: 1.0000, Recall: 0.1556, F1: 0.2692
Epoch 29 Average Loss: 0.2728, Precision: 1.0000, Recall: 0.1706, F1: 0.2915
Epoch 30 Average Loss: 0.2708, Precision: 1.0000, Recall: 0.1824, F1: 0.3085
Epoch 31 Average Loss: 0.2700, Precision: 1.0000, Recall: 0.1882, F1: 0.3168
Epoch 32 Average Loss: 0.2592, Precision: 1.0000, Recall: 0.1784, F1: 0.3028
Epoch 33 Average Loss: 0.2573, Precision: 1.0000, Recall: 0.1922, F1: 0.3224
Epoch 34 Average Loss: 0.2546, Precision: 1.0000, Recall: 0.1961, F1: 0.3279
Epoch 35 Average Loss: 0.2481, Precision: 1.0000, Recall: 0.2065, F1: 0.3424
Epoch 36 Average Loss: 0.2463, Precision: 1.0000, Recall: 0.1850, F1: 0.3122
Epoch 37 Average Loss: 0.2392, Precision: 1.0000, Recall: 0.2078, F1: 0.3442
Epoch 38 Average Loss: 0.2350, Precision: 1.0000, Recall: 0.2150, F1: 0.3540
Epoch 39 Average Loss: 0.2365, Precision: 1.0000, Recall: 0.2150, F1: 0.3540
Epoch 40 Average Loss: 0.2331, Precision: 1.0000, Recall: 0.2196, F1: 0.3601
Epoch 41 Average Loss: 0.2285, Precision: 1.0000, Recall: 0.2170, F1: 0.3566
Epoch 42 Average Loss: 0.2259, Precision: 1.0000, Recall: 0.2281, F1: 0.3715
Epoch 43 Average Loss: 0.2178, Precision: 1.0000, Recall: 0.2405, F1: 0.3878
Epoch 44 Average Loss: 0.2230, Precision: 1.0000, Recall: 0.2248, F1: 0.3671
Epoch 45 Average Loss: 0.2165, Precision: 1.0000, Recall: 0.2307, F1: 0.3749
Epoch 46 Average Loss: 0.2203, Precision: 1.0000, Recall: 0.2386, F1: 0.3852
Epoch 47 Average Loss: 0.2143, Precision: 1.0000, Recall: 0.2575, F1: 0.4096
Epoch 48 Average Loss: 0.2124, Precision: 1.0000, Recall: 0.2425, F1: 0.3903
Epoch 49 Average Loss: 0.2099, Precision: 1.0000, Recall: 0.2549, F1: 0.4062
Epoch 50 Average Loss: 0.2067, Precision: 1.0000, Recall: 0.2627, F1: 0.4161
