Epoch 1 Average Loss: 1.9457, Precision: 1.0000, Recall: 0.0014, F1: 0.0027
Epoch 2 Average Loss: 0.7751, Precision: 1.0000, Recall: 0.0303, F1: 0.0589
Epoch 3 Average Loss: 0.5793, Precision: 1.0000, Recall: 0.0658, F1: 0.1234
Epoch 4 Average Loss: 0.4778, Precision: 1.0000, Recall: 0.0910, F1: 0.1668
Epoch 5 Average Loss: 0.4045, Precision: 1.0000, Recall: 0.1145, F1: 0.2055
Epoch 6 Average Loss: 0.3633, Precision: 1.0000, Recall: 0.1268, F1: 0.2250
Epoch 7 Average Loss: 0.3271, Precision: 1.0000, Recall: 0.1442, F1: 0.2520
Epoch 8 Average Loss: 0.3041, Precision: 1.0000, Recall: 0.1449, F1: 0.2531
Epoch 9 Average Loss: 0.2900, Precision: 1.0000, Recall: 0.1633, F1: 0.2807
Epoch 10 Average Loss: 0.2725, Precision: 1.0000, Recall: 0.1656, F1: 0.2842
Epoch 11 Average Loss: 0.2628, Precision: 1.0000, Recall: 0.1694, F1: 0.2897
Epoch 12 Average Loss: 0.2521, Precision: 1.0000, Recall: 0.1973, F1: 0.3296
Epoch 13 Average Loss: 0.2418, Precision: 1.0000, Recall: 0.2004, F1: 0.3339
Epoch 14 Average Loss: 0.2302, Precision: 1.0000, Recall: 0.2181, F1: 0.3581
Epoch 15 Average Loss: 0.2219, Precision: 1.0000, Recall: 0.2120, F1: 0.3498
Epoch 16 Average Loss: 0.2133, Precision: 1.0000, Recall: 0.2130, F1: 0.3512
Epoch 17 Average Loss: 0.2091, Precision: 1.0000, Recall: 0.2290, F1: 0.3727
Epoch 18 Average Loss: 0.2042, Precision: 1.0000, Recall: 0.2406, F1: 0.3879
Epoch 19 Average Loss: 0.1966, Precision: 1.0000, Recall: 0.2549, F1: 0.4063
Epoch 20 Average Loss: 0.1946, Precision: 1.0000, Recall: 0.2519, F1: 0.4024
Epoch 21 Average Loss: 0.1865, Precision: 1.0000, Recall: 0.2669, F1: 0.4213
Epoch 22 Average Loss: 0.1829, Precision: 1.0000, Recall: 0.2751, F1: 0.4314
Epoch 23 Average Loss: 0.1800, Precision: 1.0000, Recall: 0.2706, F1: 0.4260
Epoch 24 Average Loss: 0.1746, Precision: 1.0000, Recall: 0.2774, F1: 0.4344
Epoch 25 Average Loss: 0.1703, Precision: 1.0000, Recall: 0.2791, F1: 0.4365
Epoch 26 Average Loss: 0.1666, Precision: 1.0000, Recall: 0.3071, F1: 0.4699
Epoch 27 Average Loss: 0.1635, Precision: 1.0000, Recall: 0.3057, F1: 0.4683
Epoch 28 Average Loss: 0.1631, Precision: 1.0000, Recall: 0.2993, F1: 0.4607
Epoch 29 Average Loss: 0.1588, Precision: 1.0000, Recall: 0.3067, F1: 0.4695
Epoch 30 Average Loss: 0.1566, Precision: 1.0000, Recall: 0.3146, F1: 0.4786
Epoch 31 Average Loss: 0.1540, Precision: 1.0000, Recall: 0.3125, F1: 0.4762
Epoch 32 Average Loss: 0.1501, Precision: 1.0000, Recall: 0.3224, F1: 0.4876
Epoch 33 Average Loss: 0.1479, Precision: 1.0000, Recall: 0.3316, F1: 0.4981
Epoch 34 Average Loss: 0.1448, Precision: 1.0000, Recall: 0.3415, F1: 0.5091
Epoch 35 Average Loss: 0.1416, Precision: 1.0000, Recall: 0.3419, F1: 0.5095
Epoch 36 Average Loss: 0.1423, Precision: 1.0000, Recall: 0.3252, F1: 0.4907
Epoch 37 Average Loss: 0.1377, Precision: 1.0000, Recall: 0.3398, F1: 0.5073
Epoch 38 Average Loss: 0.1361, Precision: 1.0000, Recall: 0.3436, F1: 0.5114
Epoch 39 Average Loss: 0.1332, Precision: 1.0000, Recall: 0.3592, F1: 0.5286
Epoch 40 Average Loss: 0.1326, Precision: 1.0000, Recall: 0.3528, F1: 0.5215
Epoch 41 Average Loss: 0.1312, Precision: 1.0000, Recall: 0.3562, F1: 0.5253
Epoch 42 Average Loss: 0.1305, Precision: 1.0000, Recall: 0.3596, F1: 0.5290
Epoch 43 Average Loss: 0.1283, Precision: 1.0000, Recall: 0.3661, F1: 0.5359
Epoch 44 Average Loss: 0.1249, Precision: 1.0000, Recall: 0.3746, F1: 0.5450
Epoch 45 Average Loss: 0.1259, Precision: 1.0000, Recall: 0.3729, F1: 0.5432
Epoch 46 Average Loss: 0.1209, Precision: 1.0000, Recall: 0.3974, F1: 0.5688
Epoch 47 Average Loss: 0.1204, Precision: 1.0000, Recall: 0.3906, F1: 0.5618
Epoch 48 Average Loss: 0.1208, Precision: 1.0000, Recall: 0.3838, F1: 0.5547
Epoch 49 Average Loss: 0.1181, Precision: 1.0000, Recall: 0.3817, F1: 0.5525
Epoch 50 Average Loss: 0.1169, Precision: 1.0000, Recall: 0.3896, F1: 0.5607
