Epoch 1 Average Loss: 0.6251, Precision: 1.0000, Recall: 0.4049, F1: 0.5764
Epoch 2 Average Loss: 0.5880, Precision: 1.0000, Recall: 0.3920, F1: 0.5632
Epoch 3 Average Loss: 0.5653, Precision: 1.0000, Recall: 0.3865, F1: 0.5575
Epoch 4 Average Loss: 0.5647, Precision: 1.0000, Recall: 0.3787, F1: 0.5493
Epoch 5 Average Loss: 0.5526, Precision: 1.0000, Recall: 0.3824, F1: 0.5533
Epoch 6 Average Loss: 0.5550, Precision: 1.0000, Recall: 0.3807, F1: 0.5515
Epoch 7 Average Loss: 0.5445, Precision: 1.0000, Recall: 0.3957, F1: 0.5670
Epoch 8 Average Loss: 0.5412, Precision: 1.0000, Recall: 0.3800, F1: 0.5508
Epoch 9 Average Loss: 0.5485, Precision: 1.0000, Recall: 0.3872, F1: 0.5582
Epoch 10 Average Loss: 0.5486, Precision: 1.0000, Recall: 0.3742, F1: 0.5446
Epoch 11 Average Loss: 0.5529, Precision: 1.0000, Recall: 0.3739, F1: 0.5443
Epoch 12 Average Loss: 0.5291, Precision: 1.0000, Recall: 0.3732, F1: 0.5436
Epoch 13 Average Loss: 0.5365, Precision: 1.0000, Recall: 0.3586, F1: 0.5278
Epoch 14 Average Loss: 0.5260, Precision: 1.0000, Recall: 0.3763, F1: 0.5468
Epoch 15 Average Loss: 0.5428, Precision: 1.0000, Recall: 0.3882, F1: 0.5593
Epoch 16 Average Loss: 0.5150, Precision: 1.0000, Recall: 0.3848, F1: 0.5557
Epoch 17 Average Loss: 0.5329, Precision: 1.0000, Recall: 0.3903, F1: 0.5614
Epoch 18 Average Loss: 0.5434, Precision: 1.0000, Recall: 0.3865, F1: 0.5575
Epoch 19 Average Loss: 0.5030, Precision: 1.0000, Recall: 0.3903, F1: 0.5614
Epoch 20 Average Loss: 0.5076, Precision: 1.0000, Recall: 0.3892, F1: 0.5604
Epoch 21 Average Loss: 0.5150, Precision: 1.0000, Recall: 0.3858, F1: 0.5568
Epoch 22 Average Loss: 0.5125, Precision: 1.0000, Recall: 0.3957, F1: 0.5670
Epoch 23 Average Loss: 0.5017, Precision: 1.0000, Recall: 0.3933, F1: 0.5646
Epoch 24 Average Loss: 0.5103, Precision: 1.0000, Recall: 0.3916, F1: 0.5628
Epoch 25 Average Loss: 0.4843, Precision: 1.0000, Recall: 0.3790, F1: 0.5497
Epoch 26 Average Loss: 0.4984, Precision: 1.0000, Recall: 0.3807, F1: 0.5515
Epoch 27 Average Loss: 0.4960, Precision: 1.0000, Recall: 0.3899, F1: 0.5611
Epoch 28 Average Loss: 0.5060, Precision: 1.0000, Recall: 0.4035, F1: 0.5750
Epoch 29 Average Loss: 0.4891, Precision: 1.0000, Recall: 0.4018, F1: 0.5733
Epoch 30 Average Loss: 0.4829, Precision: 1.0000, Recall: 0.3974, F1: 0.5688
Epoch 31 Average Loss: 0.5013, Precision: 1.0000, Recall: 0.3940, F1: 0.5653
Epoch 32 Average Loss: 0.4819, Precision: 1.0000, Recall: 0.4056, F1: 0.5771
Epoch 33 Average Loss: 0.5070, Precision: 1.0000, Recall: 0.4032, F1: 0.5747
Epoch 34 Average Loss: 0.5023, Precision: 1.0000, Recall: 0.3879, F1: 0.5589
Epoch 35 Average Loss: 0.4744, Precision: 1.0000, Recall: 0.4080, F1: 0.5795
Epoch 36 Average Loss: 0.4729, Precision: 1.0000, Recall: 0.4039, F1: 0.5754
Epoch 37 Average Loss: 0.4826, Precision: 1.0000, Recall: 0.4070, F1: 0.5785
Epoch 38 Average Loss: 0.4526, Precision: 1.0000, Recall: 0.4076, F1: 0.5792
Epoch 39 Average Loss: 0.4662, Precision: 1.0000, Recall: 0.3923, F1: 0.5635
Epoch 40 Average Loss: 0.4854, Precision: 1.0000, Recall: 0.3971, F1: 0.5684
Epoch 41 Average Loss: 0.4716, Precision: 1.0000, Recall: 0.4070, F1: 0.5785
Epoch 42 Average Loss: 0.4718, Precision: 1.0000, Recall: 0.3913, F1: 0.5625
Epoch 43 Average Loss: 0.4640, Precision: 1.0000, Recall: 0.4012, F1: 0.5726
Epoch 44 Average Loss: 0.4668, Precision: 1.0000, Recall: 0.4165, F1: 0.5881
Epoch 45 Average Loss: 0.4722, Precision: 1.0000, Recall: 0.3991, F1: 0.5705
Epoch 46 Average Loss: 0.4720, Precision: 1.0000, Recall: 0.4012, F1: 0.5726
Epoch 47 Average Loss: 0.4823, Precision: 1.0000, Recall: 0.3991, F1: 0.5705
Epoch 48 Average Loss: 0.4629, Precision: 1.0000, Recall: 0.4073, F1: 0.5788
Epoch 49 Average Loss: 0.4513, Precision: 1.0000, Recall: 0.4131, F1: 0.5847
Epoch 50 Average Loss: 0.4548, Precision: 1.0000, Recall: 0.4131, F1: 0.5847
