Epoch 1 Average Loss: 2.6764, Precision: 1.0000, Recall: 0.0012, F1: 0.0024
Epoch 2 Average Loss: 1.3577, Precision: 1.0000, Recall: 0.0108, F1: 0.0214
Epoch 3 Average Loss: 0.9947, Precision: 1.0000, Recall: 0.0156, F1: 0.0307
Epoch 4 Average Loss: 0.7937, Precision: 1.0000, Recall: 0.0228, F1: 0.0445
Epoch 5 Average Loss: 0.6878, Precision: 1.0000, Recall: 0.0348, F1: 0.0672
Epoch 6 Average Loss: 0.6198, Precision: 1.0000, Recall: 0.0444, F1: 0.0850
Epoch 7 Average Loss: 0.5605, Precision: 1.0000, Recall: 0.0588, F1: 0.1110
Epoch 8 Average Loss: 0.5246, Precision: 1.0000, Recall: 0.0624, F1: 0.1174
Epoch 9 Average Loss: 0.4810, Precision: 1.0000, Recall: 0.0863, F1: 0.1589
Epoch 10 Average Loss: 0.4441, Precision: 1.0000, Recall: 0.1043, F1: 0.1889
Epoch 11 Average Loss: 0.4115, Precision: 1.0000, Recall: 0.1247, F1: 0.2217
Epoch 12 Average Loss: 0.3877, Precision: 1.0000, Recall: 0.1139, F1: 0.2045
Epoch 13 Average Loss: 0.3644, Precision: 1.0000, Recall: 0.1415, F1: 0.2479
Epoch 14 Average Loss: 0.3371, Precision: 1.0000, Recall: 0.1439, F1: 0.2516
Epoch 15 Average Loss: 0.3236, Precision: 1.0000, Recall: 0.1571, F1: 0.2715
Epoch 16 Average Loss: 0.3073, Precision: 1.0000, Recall: 0.1703, F1: 0.2910
Epoch 17 Average Loss: 0.2931, Precision: 1.0000, Recall: 0.1595, F1: 0.2751
Epoch 18 Average Loss: 0.2791, Precision: 1.0000, Recall: 0.1679, F1: 0.2875
Epoch 19 Average Loss: 0.2679, Precision: 1.0000, Recall: 0.1871, F1: 0.3152
Epoch 20 Average Loss: 0.2552, Precision: 1.0000, Recall: 0.2146, F1: 0.3534
Epoch 21 Average Loss: 0.2451, Precision: 1.0000, Recall: 0.2098, F1: 0.3469
Epoch 22 Average Loss: 0.2388, Precision: 1.0000, Recall: 0.2146, F1: 0.3534
Epoch 23 Average Loss: 0.2272, Precision: 1.0000, Recall: 0.2254, F1: 0.3679
Epoch 24 Average Loss: 0.2162, Precision: 1.0000, Recall: 0.2350, F1: 0.3806
Epoch 25 Average Loss: 0.2173, Precision: 1.0000, Recall: 0.2278, F1: 0.3711
Epoch 26 Average Loss: 0.2064, Precision: 1.0000, Recall: 0.2602, F1: 0.4129
Epoch 27 Average Loss: 0.2005, Precision: 1.0000, Recall: 0.2602, F1: 0.4129
Epoch 28 Average Loss: 0.1983, Precision: 1.0000, Recall: 0.2422, F1: 0.3900
Epoch 29 Average Loss: 0.1929, Precision: 1.0000, Recall: 0.2554, F1: 0.4069
Epoch 30 Average Loss: 0.1849, Precision: 1.0000, Recall: 0.2674, F1: 0.4219
Epoch 31 Average Loss: 0.1825, Precision: 1.0000, Recall: 0.2542, F1: 0.4054
Epoch 32 Average Loss: 0.1822, Precision: 1.0000, Recall: 0.2686, F1: 0.4234
Epoch 33 Average Loss: 0.1766, Precision: 1.0000, Recall: 0.2650, F1: 0.4190
Epoch 34 Average Loss: 0.1671, Precision: 1.0000, Recall: 0.2758, F1: 0.4323
Epoch 35 Average Loss: 0.1651, Precision: 1.0000, Recall: 0.3106, F1: 0.4739
Epoch 36 Average Loss: 0.1608, Precision: 1.0000, Recall: 0.3153, F1: 0.4795
Epoch 37 Average Loss: 0.1565, Precision: 1.0000, Recall: 0.3106, F1: 0.4739
Epoch 38 Average Loss: 0.1591, Precision: 1.0000, Recall: 0.3225, F1: 0.4878
Epoch 39 Average Loss: 0.1529, Precision: 1.0000, Recall: 0.3070, F1: 0.4697
Epoch 40 Average Loss: 0.1523, Precision: 1.0000, Recall: 0.3249, F1: 0.4905
Epoch 41 Average Loss: 0.1521, Precision: 1.0000, Recall: 0.3345, F1: 0.5013
Epoch 42 Average Loss: 0.1447, Precision: 1.0000, Recall: 0.3369, F1: 0.5040
Epoch 43 Average Loss: 0.1486, Precision: 1.0000, Recall: 0.3046, F1: 0.4669
Epoch 44 Average Loss: 0.1398, Precision: 1.0000, Recall: 0.3549, F1: 0.5239
Epoch 45 Average Loss: 0.1344, Precision: 1.0000, Recall: 0.3597, F1: 0.5291
Epoch 46 Average Loss: 0.1315, Precision: 1.0000, Recall: 0.3753, F1: 0.5458
Epoch 47 Average Loss: 0.1331, Precision: 1.0000, Recall: 0.3765, F1: 0.5470
Epoch 48 Average Loss: 0.1301, Precision: 1.0000, Recall: 0.3633, F1: 0.5330
Epoch 49 Average Loss: 0.1273, Precision: 1.0000, Recall: 0.3417, F1: 0.5094
Epoch 50 Average Loss: 0.1275, Precision: 1.0000, Recall: 0.3669, F1: 0.5368
