Epoch 1 Average Loss: 2.0242, Precision: 1.0000, Recall: 0.0013, F1: 0.0026
Epoch 2 Average Loss: 0.9012, Precision: 1.0000, Recall: 0.0190, F1: 0.0372
Epoch 3 Average Loss: 0.6535, Precision: 1.0000, Recall: 0.0405, F1: 0.0779
Epoch 4 Average Loss: 0.5554, Precision: 1.0000, Recall: 0.0542, F1: 0.1029
Epoch 5 Average Loss: 0.4819, Precision: 1.0000, Recall: 0.0732, F1: 0.1364
Epoch 6 Average Loss: 0.4255, Precision: 1.0000, Recall: 0.0830, F1: 0.1533
Epoch 7 Average Loss: 0.3815, Precision: 1.0000, Recall: 0.1052, F1: 0.1904
Epoch 8 Average Loss: 0.3447, Precision: 1.0000, Recall: 0.1222, F1: 0.2178
Epoch 9 Average Loss: 0.3136, Precision: 1.0000, Recall: 0.1353, F1: 0.2383
Epoch 10 Average Loss: 0.2962, Precision: 1.0000, Recall: 0.1340, F1: 0.2363
Epoch 11 Average Loss: 0.2783, Precision: 1.0000, Recall: 0.1634, F1: 0.2809
Epoch 12 Average Loss: 0.2593, Precision: 1.0000, Recall: 0.1654, F1: 0.2838
Epoch 13 Average Loss: 0.2419, Precision: 1.0000, Recall: 0.1667, F1: 0.2857
Epoch 14 Average Loss: 0.2368, Precision: 1.0000, Recall: 0.1869, F1: 0.3150
Epoch 15 Average Loss: 0.2286, Precision: 1.0000, Recall: 0.2124, F1: 0.3504
Epoch 16 Average Loss: 0.2145, Precision: 1.0000, Recall: 0.2150, F1: 0.3540
Epoch 17 Average Loss: 0.2061, Precision: 1.0000, Recall: 0.2203, F1: 0.3610
Epoch 18 Average Loss: 0.1981, Precision: 1.0000, Recall: 0.2353, F1: 0.3810
Epoch 19 Average Loss: 0.1938, Precision: 1.0000, Recall: 0.2471, F1: 0.3962
Epoch 20 Average Loss: 0.1895, Precision: 1.0000, Recall: 0.2634, F1: 0.4170
Epoch 21 Average Loss: 0.1805, Precision: 1.0000, Recall: 0.2719, F1: 0.4275
Epoch 22 Average Loss: 0.1784, Precision: 1.0000, Recall: 0.2706, F1: 0.4259
Epoch 23 Average Loss: 0.1723, Precision: 1.0000, Recall: 0.2791, F1: 0.4364
Epoch 24 Average Loss: 0.1683, Precision: 1.0000, Recall: 0.2784, F1: 0.4356
Epoch 25 Average Loss: 0.1660, Precision: 1.0000, Recall: 0.2752, F1: 0.4316
Epoch 26 Average Loss: 0.1593, Precision: 1.0000, Recall: 0.2974, F1: 0.4584
Epoch 27 Average Loss: 0.1555, Precision: 1.0000, Recall: 0.3065, F1: 0.4692
Epoch 28 Average Loss: 0.1530, Precision: 1.0000, Recall: 0.3052, F1: 0.4677
Epoch 29 Average Loss: 0.1474, Precision: 1.0000, Recall: 0.3288, F1: 0.4948
Epoch 30 Average Loss: 0.1471, Precision: 1.0000, Recall: 0.3418, F1: 0.5095
Epoch 31 Average Loss: 0.1425, Precision: 1.0000, Recall: 0.3359, F1: 0.5029
Epoch 32 Average Loss: 0.1391, Precision: 1.0000, Recall: 0.3529, F1: 0.5217
Epoch 33 Average Loss: 0.1360, Precision: 1.0000, Recall: 0.3621, F1: 0.5317
Epoch 34 Average Loss: 0.1375, Precision: 1.0000, Recall: 0.3405, F1: 0.5080
Epoch 35 Average Loss: 0.1289, Precision: 1.0000, Recall: 0.3706, F1: 0.5408
Epoch 36 Average Loss: 0.1313, Precision: 1.0000, Recall: 0.3595, F1: 0.5288
Epoch 37 Average Loss: 0.1272, Precision: 1.0000, Recall: 0.3778, F1: 0.5484
Epoch 38 Average Loss: 0.1241, Precision: 1.0000, Recall: 0.3850, F1: 0.5559
Epoch 39 Average Loss: 0.1206, Precision: 1.0000, Recall: 0.3895, F1: 0.5607
Epoch 40 Average Loss: 0.1185, Precision: 1.0000, Recall: 0.4000, F1: 0.5714
Epoch 41 Average Loss: 0.1184, Precision: 1.0000, Recall: 0.4000, F1: 0.5714
Epoch 42 Average Loss: 0.1170, Precision: 1.0000, Recall: 0.4033, F1: 0.5748
Epoch 43 Average Loss: 0.1082, Precision: 1.0000, Recall: 0.4248, F1: 0.5963
Epoch 44 Average Loss: 0.1128, Precision: 1.0000, Recall: 0.4183, F1: 0.5899
Epoch 45 Average Loss: 0.1075, Precision: 1.0000, Recall: 0.4235, F1: 0.5950
Epoch 46 Average Loss: 0.1068, Precision: 1.0000, Recall: 0.4497, F1: 0.6204
Epoch 47 Average Loss: 0.1019, Precision: 1.0000, Recall: 0.4405, F1: 0.6116
Epoch 48 Average Loss: 0.1014, Precision: 1.0000, Recall: 0.4464, F1: 0.6173
Epoch 49 Average Loss: 0.1031, Precision: 1.0000, Recall: 0.4510, F1: 0.6216
Epoch 50 Average Loss: 0.0976, Precision: 1.0000, Recall: 0.4778, F1: 0.6466
